age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal
50,Male,154.9,95.3,High Activity,12.0,2.0,39.68,Obese,Fat Loss
52,Female,165.1,76.2,High Activity,7.0,0.0,27.96,Overweight,Fat Loss
56,Female,182.9,81.6,High Activity,5.0,3.0,24.41,Normal,Fat Loss
60,Male,154.9,86.2,High Activity,60.0,20.0,35.9,Obese,Fat Loss
53,Female,157.5,56.7,High Activity,40.0,5.0,22.86,Normal,Fat Loss
20,Male,185.4,79.4,High Activity,40.0,5.0,23.09,Normal,Fat Loss
20,Female,165.1,56.7,High Activity,40.0,5.0,20.8,Normal,Fat Loss
38,Female,170.2,63.5,High Activity,20.0,0.0,21.93,Normal,Fat Loss
39,Male,188.0,131.5,High Activity,20.0,0.0,37.23,Obese,Fat Loss
35,Male,170.2,72.6,Low Activity,2.0,0.0,25.06,Overweight,Fat Loss
34,Female,160.0,54.4,Low Activity,0.0,0.0,21.26,Normal,Fat Loss
34,Female,162.6,63.5,High Activity,5.0,4.0,24.03,Normal,Fat Loss
37,Female,167.6,61.2,High Activity,3.0,3.0,21.79,Normal,Fat Loss
35,Male,172.7,86.2,High Activity,6.0,1.0,28.89,Overweight,Fat Loss
34,Female,157.5,54.4,High Activity,6.0,5.0,21.95,Normal,Fat Loss
52,Male,154.9,90.7,High Activity,15.0,2.0,37.79,Obese,Fat Loss
51,Female,170.2,63.5,High Activity,15.0,0.0,21.93,Normal,Fat Loss
21,Male,154.9,77.1,High Activity,8.0,10.0,32.12,Obese,Fat Loss
18,Male,180.3,72.6,High Activity,8.0,6.0,22.32,Normal,Fat Loss
41,Female,167.6,113.4,High Activity,3.0,6.0,40.35,Obese,Fat Loss
36,Male,170.2,83.9,High Activity,7.0,0.0,28.97,Overweight,Fat Loss
63,Female,167.6,71.7,High Activity,5.0,3.0,25.5,Overweight,Fat Loss
59,Male,195.6,95.3,High Activity,10.0,5.0,24.9,Normal,Fat Loss
55,Female,165.1,77.1,High Activity,10.0,4.0,28.29,Overweight,Fat Loss
47,Male,182.9,140.6,Low Activity,1.0,0.0,42.04,Obese,Fat Loss
47,Female,165.1,90.7,High Activity,10.0,3.0,33.28,Obese,Fat Loss
18,Female,167.6,70.3,High Activity,5.0,5.0,25.02,Overweight,Fat Loss
38,Male,154.9,74.8,High Activity,5.0,3.0,31.18,Obese,Fat Loss
61,Female,167.6,56.7,High Activity,20.0,0.0,20.18,Normal,Fat Loss
36,Female,162.6,57.6,High Activity,7.0,0.0,21.8,Normal,Fat Loss
38,Male,188.0,77.1,High Activity,4.0,3.0,21.83,Normal,Fat Loss
48,Male,182.9,90.7,High Activity,8.0,1.0,27.12,Overweight,Fat Loss
50,Female,157.5,63.5,High Activity,12.0,1.0,25.61,Overweight,Fat Loss
21,Female,165.1,63.5,High Activity,7.0,7.0,23.3,Normal,Fat Loss
64,Female,162.6,62.1,High Activity,4.0,3.0,23.52,Normal,Fat Loss
39,Male,180.3,104.3,Moderate Activity,3.0,0.0,32.08,Obese,Fat Loss
24,Female,167.6,79.4,High Activity,10.0,2.0,28.25,Overweight,Fat Loss
47,Male,188.0,89.8,High Activity,2.0,3.0,25.42,Overweight,Fat Loss
42,Female,157.5,59.0,High Activity,0.0,5.0,23.78,Normal,Fat Loss
59,Female,167.6,99.8,Low Activity,1.0,0.0,35.51,Obese,Fat Loss
34,Male,154.9,88.5,High Activity,18.0,1.0,36.84,Obese,Fat Loss
34,Female,172.7,63.5,High Activity,18.0,3.0,21.29,Normal,Fat Loss
56,Female,157.5,59.0,High Activity,7.0,0.0,23.78,Normal,Fat Loss
41,Female,165.1,54.4,Moderate Activity,2.0,2.0,19.97,Normal,Fat Loss
57,Male,172.7,104.3,Low Activity,1.0,1.0,34.97,Obese,Fat Loss
60,Female,152.4,79.4,High Activity,30.0,10.0,34.18,Obese,Fat Loss
45,Male,182.9,83.9,High Activity,15.0,0.0,25.09,Overweight,Fat Loss
19,Male,188.0,77.1,High Activity,15.0,10.0,21.83,Normal,Fat Loss
46,Male,180.3,81.6,High Activity,5.0,0.0,25.1,Overweight,Fat Loss
40,Female,167.6,68.0,High Activity,5.0,0.0,24.21,Normal,Fat Loss
52,Male,167.6,83.9,High Activity,35.0,5.0,29.86,Overweight,Fat Loss
45,Female,165.1,65.8,High Activity,5.0,0.0,24.13,Normal,Fat Loss
25,Female,165.1,61.2,High Activity,25.0,8.0,22.46,Normal,Fat Loss
28,Male,188.0,90.3,High Activity,25.0,5.0,25.55,Overweight,Fat Loss
26,Male,188.0,72.6,High Activity,20.0,10.0,20.54,Normal,Fat Loss
28,Male,175.3,90.7,High Activity,40.0,14.0,29.53,Overweight,Fat Loss
28,Female,165.1,61.2,High Activity,40.0,4.0,22.46,Normal,Fat Loss
45,Female,162.6,81.6,High Activity,5.0,0.0,30.9,Obese,Fat Loss
45,Male,172.7,83.5,High Activity,5.0,0.0,27.98,Overweight,Fat Loss
47,Female,167.6,86.2,High Activity,15.0,0.0,30.67,Obese,Fat Loss
23,Female,160.0,63.5,High Activity,10.0,10.0,24.8,Normal,Fat Loss
50,Male,180.3,86.2,High Activity,20.0,20.0,26.5,Overweight,Fat Loss
25,Male,190.5,99.8,High Activity,10.0,30.0,27.5,Overweight,Fat Loss
18,Male,175.3,72.6,High Activity,10.0,15.0,23.63,Normal,Fat Loss
61,Female,157.5,90.7,High Activity,5.0,0.0,36.58,Obese,Fat Loss
49,Male,172.7,81.6,High Activity,20.0,0.0,27.37,Overweight,Fat Loss
45,Female,165.1,77.1,High Activity,8.0,0.0,28.29,Overweight,Fat Loss
47,Male,154.9,108.9,High Activity,25.0,10.0,45.35,Obese,Fat Loss
52,Male,154.9,105.2,High Activity,14.0,0.0,43.84,Obese,Fat Loss
48,Female,162.6,44.5,High Activity,14.0,0.0,16.82,Underweight,Fat Loss
22,Male,175.3,89.8,High Activity,12.0,0.0,29.24,Overweight,Fat Loss
60,Male,154.9,81.2,High Activity,25.0,2.0,33.82,Obese,Fat Loss
40,Male,182.9,86.2,High Activity,10.0,0.0,25.77,Overweight,Fat Loss
37,Female,162.6,81.6,High Activity,20.0,0.0,30.9,Obese,Fat Loss
54,Male,154.9,108.9,High Activity,5.0,2.0,45.35,Obese,Fat Loss
50,Male,188.0,91.2,Low Activity,2.0,0.0,25.81,Overweight,Fat Loss
50,Female,162.6,63.5,High Activity,3.0,3.0,24.03,Normal,Fat Loss
19,Male,154.9,74.8,High Activity,2.0,3.0,31.18,Obese,Fat Loss
50,Male,170.2,83.5,High Activity,10.0,0.0,28.82,Overweight,Fat Loss
48,Female,165.1,63.5,High Activity,12.0,0.0,23.3,Normal,Fat Loss
51,Male,180.3,95.3,High Activity,5.0,4.0,29.29,Overweight,Fat Loss
44,Male,170.2,81.6,Moderate Activity,4.0,0.0,28.19,Overweight,Fat Loss
52,Female,157.5,83.9,Moderate Activity,3.0,0.0,33.84,Obese,Fat Loss
64,Female,152.4,63.5,High Activity,5.0,1.0,27.34,Overweight,Fat Loss
28,Female,172.7,59.0,High Activity,5.0,1.0,19.77,Normal,Fat Loss
61,Male,154.9,104.3,High Activity,30.0,1.0,43.46,Obese,Fat Loss
44,Male,154.9,74.8,High Activity,40.0,5.0,31.18,Obese,Fat Loss
65,Female,167.6,74.8,Low Activity,2.0,1.0,26.63,Overweight,Fat Loss
50,Female,162.6,65.8,Low Activity,2.0,1.0,24.89,Normal,Fat Loss
39,Female,170.2,82.1,High Activity,20.0,5.0,28.35,Overweight,Fat Loss
64,Male,180.3,99.8,Moderate Activity,3.0,0.0,30.68,Obese,Fat Loss
63,Female,154.9,68.0,Moderate Activity,3.0,0.0,28.34,Overweight,Fat Loss
60,Male,154.9,117.9,High Activity,9.0,0.0,49.13,Obese,Fat Loss
28,Female,172.7,127.0,High Activity,7.0,0.0,42.57,Obese,Fat Loss
36,Male,188.0,102.1,High Activity,5.0,5.0,28.89,Overweight,Fat Loss
31,Female,170.2,63.5,High Activity,10.0,9.0,21.93,Normal,Fat Loss
65,Male,154.9,70.3,High Activity,4.0,4.0,29.29,Overweight,Fat Loss
65,Female,162.6,59.0,High Activity,8.0,0.0,22.31,Normal,Fat Loss
60,Female,172.7,75.7,High Activity,36.0,0.0,25.39,Overweight,Fat Loss
26,Female,172.7,90.7,High Activity,80.0,20.0,30.41,Obese,Fat Loss
28,Male,154.9,74.8,High Activity,100.0,0.0,31.18,Obese,Fat Loss
52,Male,180.3,90.7,Low Activity,2.0,0.0,27.89,Overweight,Fat Loss
53,Female,162.6,77.1,Low Activity,1.0,0.0,29.18,Overweight,Fat Loss
63,Male,172.7,76.2,Moderate Activity,3.0,2.0,25.54,Overweight,Fat Loss
57,Male,180.3,117.9,High Activity,30.0,0.0,36.26,Obese,Fat Loss
45,Female,162.6,65.8,High Activity,20.0,0.0,24.89,Normal,Fat Loss
21,Female,162.6,66.2,High Activity,20.0,0.0,25.06,Overweight,Fat Loss
19,Female,162.6,54.4,High Activity,40.0,0.0,20.6,Normal,Fat Loss
28,Female,190.5,87.5,High Activity,2.0,3.0,24.12,Normal,Fat Loss
29,Male,162.6,72.6,High Activity,3.0,3.0,27.46,Overweight,Fat Loss
34,Male,167.6,72.6,Moderate Activity,3.0,0.0,25.82,Overweight,Fat Loss
29,Female,154.9,54.4,High Activity,0.0,30.0,22.67,Normal,Fat Loss
45,Female,154.9,104.3,Low Activity,0.0,1.0,43.46,Obese,Fat Loss
47,Male,172.7,90.7,High Activity,0.0,5.0,30.41,Obese,Fat Loss
38,Male,188.0,104.3,High Activity,55.0,2.0,29.53,Overweight,Fat Loss
42,Female,165.1,83.9,High Activity,15.0,0.0,30.79,Obese,Fat Loss
56,Male,172.7,96.2,High Activity,5.0,0.0,32.23,Obese,Fat Loss
47,Female,167.6,68.0,Low Activity,2.0,0.0,24.21,Normal,Fat Loss
19,Female,175.3,68.0,High Activity,5.0,2.0,22.15,Normal,Fat Loss
65,Female,160.0,53.5,High Activity,6.0,10.0,20.9,Normal,Fat Loss
45,Male,172.7,113.4,High Activity,10.0,2.0,38.01,Obese,Fat Loss
52,Female,170.2,61.2,High Activity,10.0,5.0,21.14,Normal,Fat Loss
63,Female,162.6,63.5,High Activity,5.0,0.0,24.03,Normal,Fat Loss
44,Male,154.9,90.7,High Activity,40.0,0.0,37.79,Obese,Fat Loss
26,Female,172.7,68.0,High Activity,40.0,5.0,22.81,Normal,Fat Loss
60,Male,182.9,104.3,High Activity,40.0,0.0,31.19,Obese,Fat Loss
38,Male,182.9,81.6,High Activity,14.0,0.0,24.41,Normal,Fat Loss
64,Male,154.9,77.1,High Activity,20.0,0.0,32.12,Obese,Fat Loss
60,Female,157.5,45.4,High Activity,30.0,0.0,18.29,Underweight,Fat Loss
33,Male,154.9,88.5,High Activity,20.0,0.0,36.84,Obese,Fat Loss
57,Male,185.4,88.0,High Activity,24.0,0.0,25.59,Overweight,Fat Loss
59,Male,172.7,93.0,High Activity,10.0,0.0,31.17,Obese,Fat Loss
56,Female,167.6,54.4,High Activity,30.0,20.0,19.37,Normal,Fat Loss
20,Female,165.1,61.2,High Activity,10.0,0.0,22.46,Normal,Fat Loss
56,Female,170.2,68.0,High Activity,20.0,0.0,23.49,Normal,Fat Loss
60,Male,182.9,73.5,High Activity,14.0,14.0,21.97,Normal,Fat Loss
39,Male,160.0,74.8,Moderate Activity,4.0,0.0,29.23,Overweight,Fat Loss
50,Male,190.5,83.9,High Activity,40.0,10.0,23.12,Normal,Fat Loss
46,Female,167.6,74.8,High Activity,5.0,0.0,26.63,Overweight,Fat Loss
47,Female,160.0,90.7,High Activity,40.0,10.0,35.43,Obese,Fat Loss
18,Female,160.0,45.8,High Activity,50.0,10.0,17.89,Underweight,Fat Loss
57,Male,175.3,83.9,High Activity,40.0,10.0,27.32,Overweight,Fat Loss
46,Male,154.9,88.5,High Activity,10.0,2.0,36.84,Obese,Fat Loss
62,Male,154.9,84.8,High Activity,14.0,1.0,35.33,Obese,Fat Loss
61,Female,160.0,61.2,High Activity,20.0,1.0,23.91,Normal,Fat Loss
33,Female,162.6,61.2,Moderate Activity,3.0,0.0,23.17,Normal,Fat Loss
33,Male,154.9,95.3,Moderate Activity,3.0,0.0,39.68,Obese,Fat Loss
38,Female,175.3,63.5,High Activity,5.0,1.0,20.67,Normal,Fat Loss
38,Male,180.3,81.6,Moderate Activity,3.0,2.0,25.1,Overweight,Fat Loss
52,Female,172.7,79.4,High Activity,5.0,1.0,26.61,Overweight,Fat Loss
65,Male,185.4,81.6,High Activity,25.0,0.0,23.75,Normal,Fat Loss
64,Female,172.7,70.3,High Activity,30.0,0.0,23.57,Normal,Fat Loss
29,Male,182.9,86.2,High Activity,10.0,0.0,25.77,Overweight,Fat Loss
31,Female,165.1,59.0,High Activity,10.0,3.0,21.63,Normal,Fat Loss
38,Female,157.5,65.8,Low Activity,0.0,0.0,26.52,Overweight,Fat Loss
35,Female,162.6,72.6,High Activity,15.0,2.0,27.46,Overweight,Fat Loss
29,Female,162.6,72.6,High Activity,20.0,2.0,27.46,Overweight,Fat Loss
27,Male,180.3,79.4,High Activity,20.0,4.0,24.41,Normal,Fat Loss
27,Female,175.3,63.5,High Activity,20.0,5.0,20.67,Normal,Fat Loss
50,Female,167.6,58.1,High Activity,7.0,2.0,20.66,Normal,Fat Loss
54,Male,185.4,90.7,High Activity,5.0,4.0,26.39,Overweight,Fat Loss
64,Female,154.9,52.2,High Activity,7.0,0.0,21.73,Normal,Fat Loss
60,Female,165.1,63.5,High Activity,15.0,0.0,23.3,Normal,Fat Loss
53,Male,182.9,83.9,Low Activity,1.0,0.0,25.09,Overweight,Fat Loss
46,Female,167.6,90.7,Moderate Activity,4.0,2.0,32.28,Obese,Fat Loss
56,Female,157.5,81.6,High Activity,10.0,0.0,32.92,Obese,Fat Loss
54,Male,170.2,77.1,High Activity,20.0,6.0,26.63,Overweight,Fat Loss
55,Female,170.2,61.2,High Activity,20.0,0.0,21.14,Normal,Fat Loss
58,Female,157.5,54.4,Low Activity,0.0,0.0,21.95,Normal,Fat Loss
51,Male,180.3,83.9,High Activity,2.0,4.0,25.8,Overweight,Fat Loss
55,Male,154.9,99.8,Moderate Activity,4.0,0.0,41.57,Obese,Fat Loss
54,Female,172.7,63.5,High Activity,6.0,4.0,21.29,Normal,Fat Loss
45,Male,182.9,83.9,High Activity,10.0,3.0,25.09,Overweight,Fat Loss
37,Male,182.9,136.1,Moderate Activity,3.0,0.0,40.69,Obese,Fat Loss
39,Female,172.7,63.5,Moderate Activity,3.0,0.0,21.29,Normal,Fat Loss
39,Male,182.9,83.9,High Activity,15.0,0.0,25.09,Overweight,Fat Loss
50,Male,188.0,83.5,High Activity,10.0,0.0,23.62,Normal,Fat Loss
49,Female,165.1,60.3,High Activity,10.0,0.0,22.13,Normal,Fat Loss
20,Male,188.0,72.6,High Activity,15.0,3.0,20.54,Normal,Fat Loss
45,Male,154.9,78.5,High Activity,10.0,4.0,32.69,Obese,Fat Loss
48,Female,160.0,56.7,High Activity,10.0,3.0,22.14,Normal,Fat Loss
62,Male,182.9,98.4,High Activity,12.0,0.0,29.43,Overweight,Fat Loss
63,Female,162.6,59.0,High Activity,15.0,0.0,22.31,Normal,Fat Loss
40,Female,157.5,61.2,High Activity,12.0,2.0,24.69,Normal,Fat Loss
49,Male,180.3,113.4,High Activity,10.0,2.0,34.87,Obese,Fat Loss
19,Female,162.6,56.7,High Activity,12.0,4.0,21.46,Normal,Fat Loss
58,Male,167.6,71.7,High Activity,5.0,0.0,25.5,Overweight,Fat Loss
18,Female,160.0,54.4,High Activity,2.0,3.0,21.26,Normal,Fat Loss
57,Female,165.1,63.5,High Activity,9.0,7.0,23.3,Normal,Fat Loss
52,Male,182.9,104.3,High Activity,7.0,4.0,31.19,Obese,Fat Loss
48,Male,154.9,72.6,High Activity,5.0,2.0,30.23,Obese,Fat Loss
44,Female,172.7,68.0,High Activity,3.0,4.0,22.81,Normal,Fat Loss
32,Male,182.9,90.7,High Activity,6.0,8.0,27.12,Overweight,Fat Loss
29,Female,172.7,63.5,High Activity,20.0,5.0,21.29,Normal,Fat Loss
50,Female,162.6,67.1,Moderate Activity,3.0,1.0,25.4,Overweight,Fat Loss
54,Male,175.3,94.3,Moderate Activity,2.0,2.0,30.72,Obese,Fat Loss
47,Male,170.2,72.6,High Activity,5.0,2.0,25.06,Overweight,Fat Loss
45,Female,154.9,77.1,High Activity,5.0,0.0,32.12,Obese,Fat Loss
18,Female,160.0,70.3,Moderate Activity,3.0,2.0,27.46,Overweight,Fat Loss
56,Male,154.9,68.0,High Activity,20.0,0.0,28.34,Overweight,Fat Loss
50,Female,167.6,72.6,High Activity,10.0,0.0,25.82,Overweight,Fat Loss
45,Male,154.9,74.8,High Activity,15.0,3.0,31.18,Obese,Fat Loss
42,Female,165.1,63.5,High Activity,10.0,2.0,23.3,Normal,Fat Loss
20,Female,167.6,59.0,High Activity,10.0,5.0,20.98,Normal,Fat Loss
18,Male,190.5,88.5,High Activity,5.0,10.0,24.37,Normal,Fat Loss
60,Male,154.9,97.5,High Activity,5.0,2.0,40.62,Obese,Fat Loss
55,Female,162.6,54.0,High Activity,10.0,0.0,20.43,Normal,Fat Loss
35,Male,185.4,86.2,Moderate Activity,4.0,0.0,25.07,Overweight,Fat Loss
32,Female,170.2,56.7,High Activity,14.0,0.0,19.58,Normal,Fat Loss
46,Male,175.3,72.6,High Activity,15.0,2.0,23.63,Normal,Fat Loss
44,Female,167.6,57.6,High Activity,6.0,0.0,20.5,Normal,Fat Loss
50,Female,170.2,57.6,High Activity,12.0,2.0,19.89,Normal,Fat Loss
61,Male,182.9,79.4,Moderate Activity,3.0,0.0,23.73,Normal,Fat Loss
64,Female,160.0,68.0,High Activity,10.0,1.0,26.57,Overweight,Fat Loss
65,Female,160.0,77.1,High Activity,6.0,1.0,30.11,Obese,Fat Loss
25,Female,160.0,49.9,High Activity,15.0,1.0,19.49,Normal,Fat Loss
26,Male,167.6,59.0,High Activity,10.0,1.0,20.98,Normal,Fat Loss
58,Male,193.0,104.3,High Activity,80.0,40.0,28.0,Overweight,Fat Loss
57,Female,162.6,54.4,High Activity,60.0,20.0,20.6,Normal,Fat Loss
45,Male,154.9,82.6,Low Activity,1.0,0.0,34.39,Obese,Fat Loss
47,Female,160.0,65.8,High Activity,7.0,0.0,25.69,Overweight,Fat Loss
60,Male,180.3,108.4,High Activity,4.0,3.0,33.33,Obese,Fat Loss
58,Female,175.3,67.6,High Activity,7.0,4.0,22.0,Normal,Fat Loss
60,Female,165.1,72.6,High Activity,56.0,4.0,26.63,Overweight,Fat Loss
40,Male,172.7,90.7,High Activity,45.0,5.0,30.41,Obese,Fat Loss
52,Male,185.4,90.7,High Activity,20.0,20.0,26.39,Overweight,Fat Loss
47,Female,167.6,90.7,High Activity,38.0,2.0,32.28,Obese,Fat Loss
57,Male,188.0,127.0,Moderate Activity,4.0,0.0,35.95,Obese,Fat Loss
56,Female,167.6,72.6,High Activity,40.0,0.0,25.82,Overweight,Fat Loss
52,Male,182.9,104.3,High Activity,5.0,2.0,31.19,Obese,Fat Loss
61,Male,170.2,83.9,High Activity,4.0,3.0,28.97,Overweight,Fat Loss
55,Female,167.6,70.3,High Activity,5.0,0.0,25.02,Overweight,Fat Loss
62,Male,170.2,72.6,Moderate Activity,3.0,1.0,25.06,Overweight,Fat Loss
54,Female,157.5,54.4,Moderate Activity,0.0,2.0,21.95,Normal,Fat Loss
56,Male,170.2,76.2,Low Activity,0.0,0.0,26.31,Overweight,Fat Loss
60,Female,157.5,75.3,Low Activity,0.0,0.0,30.36,Obese,Fat Loss
63,Male,185.4,95.3,High Activity,50.0,0.0,27.71,Overweight,Fat Loss
63,Female,167.6,72.6,High Activity,40.0,0.0,25.82,Overweight,Fat Loss
63,Male,193.0,127.0,High Activity,25.0,0.0,34.08,Obese,Fat Loss
65,Female,175.3,72.6,High Activity,40.0,4.0,23.63,Normal,Fat Loss
54,Male,154.9,95.3,High Activity,16.0,8.0,39.68,Obese,Fat Loss
50,Female,167.6,72.6,High Activity,28.0,0.0,25.82,Overweight,Fat Loss
62,Male,182.9,72.6,Low Activity,2.0,0.0,21.7,Normal,Fat Loss
29,Male,188.0,84.8,High Activity,7.0,0.0,24.01,Normal,Fat Loss
45,Male,154.9,80.7,Moderate Activity,2.0,2.0,33.63,Obese,Fat Loss
42,Female,167.6,59.0,Low Activity,2.0,1.0,20.98,Normal,Fat Loss
45,Male,182.9,86.2,Low Activity,2.0,0.0,25.77,Overweight,Fat Loss
44,Female,162.6,56.7,Moderate Activity,4.0,0.0,21.46,Normal,Fat Loss
63,Male,185.4,77.1,High Activity,12.0,1.0,22.43,Normal,Fat Loss
62,Female,162.6,47.6,High Activity,10.0,3.0,18.02,Underweight,Fat Loss
58,Male,154.9,113.4,Low Activity,0.0,0.0,47.24,Obese,Fat Loss
59,Female,167.6,74.8,Low Activity,0.0,0.0,26.63,Overweight,Fat Loss
61,Male,154.9,117.9,High Activity,5.0,0.0,49.13,Obese,Fat Loss
61,Female,165.1,72.6,High Activity,5.0,1.0,26.63,Overweight,Fat Loss
60,Male,172.7,86.2,High Activity,12.0,1.0,28.89,Overweight,Fat Loss
57,Female,170.2,81.6,High Activity,6.0,0.0,28.19,Overweight,Fat Loss
33,Female,165.1,72.6,Low Activity,0.0,0.0,26.63,Overweight,Fat Loss
64,Female,152.4,106.6,High Activity,5.0,0.0,45.89,Obese,Fat Loss
43,Male,175.3,80.7,High Activity,20.0,0.0,26.29,Overweight,Fat Loss
42,Female,154.9,49.4,High Activity,30.0,10.0,20.6,Normal,Fat Loss
32,Male,175.3,77.6,High Activity,0.0,4.0,25.25,Overweight,Fat Loss
32,Female,165.1,47.6,High Activity,56.0,5.0,17.47,Underweight,Fat Loss
47,Male,170.2,145.1,High Activity,10.0,10.0,50.12,Obese,Fat Loss
56,Female,175.3,54.4,High Activity,20.0,20.0,17.72,Underweight,Fat Loss
60,Male,167.6,76.2,High Activity,6.0,0.0,27.12,Overweight,Fat Loss
60,Female,157.5,63.5,Low Activity,2.0,0.0,25.61,Overweight,Fat Loss
30,Female,162.6,68.0,Low Activity,1.0,1.0,25.75,Overweight,Fat Loss
30,Male,154.9,90.7,Low Activity,1.0,1.0,37.79,Obese,Fat Loss
62,Male,185.4,113.4,High Activity,10.0,0.0,32.98,Obese,Fat Loss
55,Male,175.3,77.1,High Activity,8.0,6.0,25.1,Overweight,Fat Loss
47,Female,172.7,63.5,High Activity,8.0,6.0,21.29,Normal,Fat Loss
35,Male,175.3,81.6,High Activity,10.0,4.0,26.58,Overweight,Fat Loss
35,Female,167.6,74.4,High Activity,30.0,4.0,26.47,Overweight,Fat Loss
38,Male,180.3,72.6,High Activity,40.0,15.0,22.32,Normal,Fat Loss
54,Male,180.3,71.7,High Activity,20.0,6.0,22.04,Normal,Fat Loss
47,Male,172.7,93.0,High Activity,5.0,0.0,31.17,Obese,Fat Loss
44,Female,172.7,72.6,High Activity,8.0,0.0,24.33,Normal,Fat Loss
25,Female,162.6,60.3,High Activity,9.0,1.0,22.83,Normal,Fat Loss
25,Male,188.0,83.9,Moderate Activity,4.0,1.0,23.75,Normal,Fat Loss
57,Female,162.6,77.1,High Activity,12.0,5.0,29.18,Overweight,Fat Loss
32,Male,180.3,131.5,Moderate Activity,4.0,1.0,40.45,Obese,Fat Loss
27,Female,162.6,63.5,Moderate Activity,4.0,1.0,24.03,Normal,Fat Loss
64,Male,188.0,122.5,Moderate Activity,4.0,0.0,34.67,Obese,Fat Loss
63,Female,167.6,63.5,Low Activity,0.0,0.0,22.6,Normal,Fat Loss
32,Male,185.4,99.8,Moderate Activity,3.0,0.0,29.03,Overweight,Fat Loss
62,Male,167.6,81.6,High Activity,2.0,3.0,29.05,Overweight,Fat Loss
64,Male,172.7,97.5,High Activity,5.0,10.0,32.69,Obese,Fat Loss
60,Female,167.6,63.5,High Activity,5.0,10.0,22.6,Normal,Fat Loss
51,Female,172.7,72.6,High Activity,5.0,5.0,24.33,Normal,Fat Loss
51,Male,182.9,74.8,High Activity,5.0,8.0,22.38,Normal,Fat Loss
18,Male,182.9,81.6,High Activity,0.0,8.0,24.41,Normal,Fat Loss
64,Female,162.6,74.8,Moderate Activity,3.0,0.0,28.32,Overweight,Fat Loss
40,Male,170.2,70.3,High Activity,2.0,6.0,24.28,Normal,Fat Loss
41,Female,165.1,113.4,Low Activity,2.0,0.0,41.6,Obese,Fat Loss
50,Male,154.9,81.6,Moderate Activity,3.0,2.0,34.01,Obese,Fat Loss
42,Female,167.6,54.4,High Activity,5.0,1.0,19.37,Normal,Fat Loss
41,Male,180.3,74.8,High Activity,10.0,3.0,23.01,Normal,Fat Loss
41,Female,162.6,62.1,High Activity,5.0,0.0,23.52,Normal,Fat Loss
48,Male,172.7,89.8,High Activity,5.0,1.0,30.11,Obese,Fat Loss
19,Male,180.3,77.1,High Activity,10.0,5.0,23.71,Normal,Fat Loss
37,Male,180.3,83.9,High Activity,40.0,0.0,25.8,Overweight,Fat Loss
38,Female,167.6,54.4,High Activity,40.0,0.0,19.37,Normal,Fat Loss
52,Male,175.3,88.5,High Activity,5.0,5.0,28.8,Overweight,Fat Loss
50,Female,180.3,81.6,High Activity,10.0,5.0,25.1,Overweight,Fat Loss
24,Female,157.5,99.8,High Activity,10.0,10.0,40.24,Obese,Fat Loss
23,Male,182.9,104.3,High Activity,10.0,10.0,31.19,Obese,Fat Loss
50,Male,175.3,99.8,Moderate Activity,3.0,0.0,32.49,Obese,Fat Loss
50,Female,154.9,59.0,Low Activity,0.0,0.0,24.56,Normal,Fat Loss
60,Male,182.9,120.2,High Activity,5.0,0.0,35.94,Obese,Fat Loss
61,Female,170.2,81.6,High Activity,10.0,0.0,28.19,Overweight,Fat Loss
44,Female,175.3,74.8,High Activity,4.0,5.0,24.37,Normal,Fat Loss
33,Male,185.4,120.2,High Activity,40.0,0.0,34.96,Obese,Fat Loss
33,Female,172.7,68.0,High Activity,60.0,0.0,22.81,Normal,Fat Loss
52,Male,170.2,68.0,Moderate Activity,3.0,1.0,23.49,Normal,Fat Loss
51,Female,157.5,86.2,Low Activity,2.0,0.0,34.75,Obese,Fat Loss
19,Male,175.3,59.0,High Activity,5.0,2.0,19.2,Normal,Fat Loss
53,Male,185.4,77.1,High Activity,10.0,30.0,22.43,Normal,Fat Loss
51,Female,175.3,95.3,High Activity,10.0,0.0,31.01,Obese,Fat Loss
57,Female,160.0,68.0,Low Activity,2.0,0.0,26.57,Overweight,Fat Loss
60,Male,154.9,108.9,Low Activity,2.0,0.0,45.35,Obese,Fat Loss
42,Female,167.6,90.7,High Activity,10.0,0.0,32.28,Obese,Fat Loss
42,Male,175.3,81.6,High Activity,10.0,20.0,26.58,Overweight,Fat Loss
41,Male,154.9,127.0,High Activity,28.0,7.0,52.9,Obese,Fat Loss
44,Female,157.5,77.1,High Activity,10.0,1.0,31.09,Obese,Fat Loss
57,Male,182.9,83.9,High Activity,20.0,5.0,25.09,Overweight,Fat Loss
49,Female,154.9,72.6,High Activity,30.0,10.0,30.23,Obese,Fat Loss
21,Male,175.3,65.8,High Activity,10.0,5.0,21.41,Normal,Fat Loss
44,Male,154.9,88.5,High Activity,20.0,3.0,36.84,Obese,Fat Loss
42,Female,162.6,68.0,High Activity,25.0,0.0,25.75,Overweight,Fat Loss
58,Male,188.0,111.1,High Activity,20.0,0.0,31.46,Obese,Fat Loss
62,Female,165.1,59.0,High Activity,10.0,0.0,21.63,Normal,Fat Loss
52,Male,188.0,113.4,High Activity,6.0,2.0,32.1,Obese,Fat Loss
51,Female,160.0,59.0,High Activity,6.0,4.0,23.03,Normal,Fat Loss
25,Male,175.3,77.1,Moderate Activity,3.0,1.0,25.1,Overweight,Fat Loss
